iters,games,seed,matchup,agent_a,agent_b,agent_a_wins,agent_b_wins,draws,agent_a_losses,agent_b_losses,agent_a_avg_time_per_move,agent_b_avg_time_per_move,agent_a_avg_time_per_iteration,agent_b_avg_time_per_iteration,agent_a_avg_value,agent_b_avg_value,agent_a_moves,agent_b_moves,llm_calls,llm_cache_hits,llm_cache_misses,llm_cache_hit_rate,llm_cache_size,llm_calls_per_move,llm_mode
10,200,100000,baseline_vs_llm,baseline,llm,56,104,40,104,56,0.00011682253158300243,9.405844598927536e-05,1.168225315830024e-05,9.405844598927542e-06,0.3902860548271752,0.5588403572811245,839,861,2552,3634,2552,0.5874555447785321,2552,2.9639953542392568,heuristic
10,200,101000,baseline_vs_minimax,baseline,minimax,0,192,8,192,0,0.00013144327770961422,4.0539129108119425e-05,1.3144327770961419e-05,0.0,0.3271625344352619,0.7711621233859397,605,697,0,0,0,0.0,0,0.0,heuristic
10,200,102000,llm_vs_minimax,llm,minimax,0,163,37,163,0,7.728397080771065e-05,7.186282916746659e-06,7.728397080771057e-06,0.0,0.49006272401433565,0.7128851540616247,651,714,938,4711,938,0.8339529120198265,938,1.4408602150537635,heuristic
50,200,500000,baseline_vs_llm,baseline,llm,72,88,40,88,72,0.000589243181709857,0.00042572356095390234,1.1784863634197144e-05,8.514471219078042e-06,0.3983548362186397,0.484545758696462,875,886,3985,23119,3985,0.8529737308146399,3985,4.497742663656885,heuristic
50,200,501000,baseline_vs_minimax,baseline,minimax,0,199,1,199,0,0.0007344624540654683,1.0372102072851595e-05,1.4689249081309372e-05,0.0,0.2566761489843717,0.8032544378698225,577,676,0,0,0,0.0,0,0.0,heuristic
50,200,502000,llm_vs_minimax,llm,minimax,0,200,0,200,0,0.000421178950000467,8.745471424975092e-06,8.423579000009335e-06,0.0,0.331230822637368,0.77,600,700,1479,22587,1479,0.9385440039890302,1479,2.465,heuristic
100,200,1000000,baseline_vs_llm,baseline,llm,90,8,102,8,90,0.001141658980788305,0.0008250907693262932,1.1416589807883067e-05,8.250907693262935e-06,0.5043755455562585,0.36596800634108206,885,893,3913,45603,3913,0.9209750383714355,3913,4.381858902575588,heuristic
100,200,1001000,baseline_vs_minimax,baseline,minimax,0,200,0,200,0,0.0013494672033387662,8.400031424571352e-06,1.3494672033387664e-05,0.0,0.2756582281915716,0.8028571428571428,600,700,0,0,0,0.0,0,0.0,heuristic
100,200,1002000,llm_vs_minimax,llm,minimax,0,200,0,200,0,0.0008781607119908585,8.226688330523756e-06,8.781607119908578e-06,0.0,0.33107365444846026,0.75,500,600,796,43110,796,0.9818703594041817,796,1.592,heuristic
500,200,5000000,baseline_vs_llm,baseline,llm,84,75,41,75,84,0.005958361984416751,0.004584312262802911,1.19167239688335e-05,9.168624525605817e-06,0.5024889656101119,0.4900336825380948,898,898,4159,192680,4159,0.9788710570567825,4159,4.631403118040089,heuristic
500,200,5001000,baseline_vs_minimax,baseline,minimax,0,200,0,200,0,0.00727456726962817,1.0510583092648527e-05,1.4549134539256335e-05,0.0,0.30975906177745177,0.8112244897959183,586,686,0,0,0,0.0,0,0.0,heuristic
500,200,5002000,llm_vs_minimax,llm,minimax,0,200,0,200,0,0.005247981348139984,1.0407290628222653e-05,1.0495962696279975e-05,0.0,0.3469402401544431,0.809375,540,640,2359,180718,2359,0.9871147112963398,2359,4.368518518518519,heuristic
